I,R,B
5,4.181818181818182,2.391304347826087e-07
5,4.272727272727273,2.3404255319148937e-07
5,4.363636363636363,2.291666666666667e-07
5,4.454545454545455,2.2448979591836735e-07
5,4.545454545454545,2.2000000000000004e-07
5,4.636363636363637,2.1568627450980394e-07
5,4.7272727272727275,2.1153846153846155e-07
5,4.818181818181818,2.0754716981132077e-07
5,4.909090909090909,2.037037037037037e-07
5,5.0,2.0000000000000002e-07
5,5.090909090909091,1.9642857142857143e-07
5,5.181818181818182,1.9298245614035088e-07
5,5.2727272727272725,1.8965517241379315e-07
5,5.363636363636363,1.864406779661017e-07
5,5.454545454545455,1.8333333333333333e-07
5,5.545454545454546,1.80327868852459e-07
5,5.636363636363637,1.7741935483870968e-07
5,5.7272727272727275,1.7460317460317458e-07
5,5.818181818181818,1.71875e-07
5,5.909090909090909,1.6923076923076923e-07
5,6.0,1.6666666666666668e-07
5,6.090909090909091,1.6417910447761198e-07
5,6.181818181818182,1.6176470588235296e-07
5,6.2727272727272725,1.594202898550725e-07
5,6.363636363636364,1.5714285714285714e-07
5,6.454545454545455,1.5492957746478874e-07
5,6.545454545454546,1.5277777777777776e-07
5,6.636363636363637,1.506849315068493e-07
5,6.7272727272727275,1.4864864864864864e-07
5,6.818181818181818,1.4666666666666668e-07
5,6.909090909090909,1.4473684210526316e-07
5,7.0,1.4285714285714287e-07
5,7.090909090909091,1.4102564102564104e-07
5,7.181818181818182,1.3924050632911394e-07
5,7.2727272727272725,1.3750000000000003e-07
5,7.363636363636364,1.3580246913580246e-07
5,7.454545454545455,1.3414634146341465e-07
5,7.545454545454546,1.325301204819277e-07
5,7.636363636363637,1.3095238095238095e-07
5,7.7272727272727275,1.2941176470588236e-07
5,7.818181818181818,1.2790697674418605e-07
5,7.909090909090909,1.264367816091954e-07
5,8.0,1.2500000000000002e-07
5,8.09090909090909,1.2359550561797755e-07
5,8.181818181818182,1.2222222222222222e-07
5,8.272727272727273,1.2087912087912088e-07
5,8.363636363636363,1.1956521739130436e-07
5,8.454545454545455,1.1827956989247312e-07
5,8.545454545454547,1.1702127659574468e-07
5,8.636363636363637,1.1578947368421053e-07
5,8.727272727272727,1.1458333333333334e-07
5,8.818181818181818,1.1340206185567011e-07
5,8.90909090909091,1.1224489795918368e-07
5,9.0,1.1111111111111112e-07
5,9.090909090909092,1.1e-07
5,9.181818181818182,1.0891089108910891e-07
5,9.272727272727273,1.0784313725490197e-07
5,9.363636363636363,1.0679611650485438e-07
5,9.454545454545455,1.0576923076923077e-07
5,9.545454545454545,1.0476190476190478e-07
5,9.636363636363637,1.0377358490566039e-07
5,9.727272727272727,1.0280373831775703e-07
5,9.818181818181818,1.0185185185185186e-07
5,9.90909090909091,1.0091743119266055e-07
5,10.0,1.0000000000000001e-07
6,1.0,1.2e-06
6,1.0909090909090908,1.1e-06
6,1.1818181818181819,1.0153846153846153e-06
6,1.2727272727272727,9.428571428571429e-07
6,1.3636363636363638,8.799999999999999e-07
6,1.4545454545454546,8.249999999999999e-07
6,1.5454545454545454,7.764705882352941e-07
6,1.6363636363636362,7.333333333333333e-07
6,1.7272727272727273,6.947368421052631e-07
6,1.8181818181818183,6.599999999999999e-07
6,1.9090909090909092,6.285714285714286e-07
6,2.0,6e-07
6,2.090909090909091,5.739130434782609e-07
6,2.1818181818181817,5.5e-07
6,2.2727272727272725,5.280000000000001e-07
6,2.3636363636363638,5.076923076923076e-07
6,2.4545454545454546,4.888888888888889e-07
6,2.5454545454545454,4.7142857142857145e-07
6,2.6363636363636367,4.551724137931034e-07
6,2.7272727272727275,4.3999999999999997e-07
6,2.8181818181818183,4.258064516129032e-07
6,2.909090909090909,4.1249999999999997e-07
6,3.0,4e-07
6,3.090909090909091,3.8823529411764707e-07
6,3.1818181818181817,3.771428571428571e-07
6,3.272727272727273,3.666666666666666e-07
6,3.3636363636363638,3.567567567567567e-07
6,3.4545454545454546,3.4736842105263157e-07
6,3.5454545454545454,3.384615384615385e-07
6,3.6363636363636362,3.3e-07
6,3.7272727272727275,3.219512195121951e-07
6,3.8181818181818183,3.142857142857143e-07
6,3.909090909090909,3.069767441860465e-07
6,4.0,3e-07
6,4.090909090909091,2.933333333333333e-07
6,4.181818181818182,2.8695652173913043e-07
6,4.272727272727273,2.808510638297872e-07
6,4.363636363636363,2.75e-07
6,4.454545454545455,2.693877551020408e-07
6,4.545454545454545,2.6400000000000003e-07
6,4.636363636363637,2.588235294117647e-07
6,4.7272727272727275,2.538461538461538e-07
6,4.818181818181818,2.490566037735849e-07
6,4.909090909090909,2.4444444444444445e-07
6,5.0,2.4e-07
6,5.090909090909091,2.3571428571428572e-07
6,5.181818181818182,2.3157894736842106e-07
6,5.2727272727272725,2.2758620689655175e-07
6,5.363636363636363,2.2372881355932205e-07
6,5.454545454545455,2.1999999999999998e-07
6,5.545454545454546,2.163934426229508e-07
6,5.636363636363637,2.129032258064516e-07
6,5.7272727272727275,2.095238095238095e-07
6,5.818181818181818,2.0624999999999998e-07
6,5.909090909090909,2.0307692307692306e-07
6,6.0,2e-07
6,6.090909090909091,1.9701492537313433e-07
6,6.181818181818182,1.9411764705882353e-07
6,6.2727272727272725,1.9130434782608698e-07
6,6.363636363636364,1.8857142857142854e-07
6,6.454545454545455,1.8591549295774647e-07
6,6.545454545454546,1.833333333333333e-07
6,6.636363636363637,1.8082191780821916e-07
6,6.7272727272727275,1.7837837837837836e-07
6,6.818181818181818,1.76e-07
6,6.909090909090909,1.7368421052631578e-07
6,7.0,1.7142857142857143e-07
6,7.090909090909091,1.6923076923076925e-07
6,7.181818181818182,1.670886075949367e-07
6,7.2727272727272725,1.65e-07
6,7.363636363636364,1.6296296296296293e-07
6,7.454545454545455,1.6097560975609754e-07
6,7.545454545454546,1.5903614457831324e-07
6,7.636363636363637,1.5714285714285714e-07
6,7.7272727272727275,1.552941176470588e-07
6,7.818181818181818,1.5348837209302325e-07
6,7.909090909090909,1.5172413793103446e-07
6,8.0,1.5e-07
6,8.09090909090909,1.4831460674157305e-07
6,8.181818181818182,1.4666666666666666e-07
6,8.272727272727273,1.4505494505494505e-07
6,8.363636363636363,1.4347826086956521e-07
6,8.454545454545455,1.4193548387096773e-07
6,8.545454545454547,1.404255319148936e-07
6,8.636363636363637,1.3894736842105263e-07
6,8.727272727272727,1.375e-07
6,8.818181818181818,1.3608247422680412e-07
6,8.90909090909091,1.346938775510204e-07
6,9.0,1.3333333333333334e-07
6,9.090909090909092,1.32e-07
6,9.181818181818182,1.306930693069307e-07
6,9.272727272727273,1.2941176470588236e-07
6,9.363636363636363,1.2815533980582525e-07
6,9.454545454545455,1.269230769230769e-07
6,9.545454545454545,1.2571428571428572e-07
6,9.636363636363637,1.2452830188679246e-07
6,9.727272727272727,1.2336448598130843e-07
6,9.818181818181818,1.2222222222222222e-07
6,9.90909090909091,1.2110091743119264e-07
6,10.0,1.2e-07
7,1.0,1.4000000000000001e-06
7,1.0909090909090908,1.2833333333333335e-06
7,1.1818181818181819,1.1846153846153846e-06
7,1.2727272727272727,1.1e-06
7,1.3636363636363638,1.0266666666666666e-06
7,1.4545454545454546,9.625e-07
7,1.5454545454545454,9.058823529411765e-07
7,1.6363636363636362,8.555555555555557e-07
7,1.7272727272727273,8.105263157894737e-07
7,1.8181818181818183,7.7e-07
7,1.9090909090909092,7.333333333333334e-07
7,2.0,7.000000000000001e-07
7,2.090909090909091,6.695652173913044e-07
7,2.1818181818181817,6.416666666666667e-07
7,2.2727272727272725,6.160000000000001e-07
7,2.3636363636363638,5.923076923076923e-07
7,2.4545454545454546,5.703703703703704e-07
7,2.5454545454545454,5.5e-07
7,2.6363636363636367,5.310344827586207e-07
7,2.7272727272727275,5.133333333333333e-07
7,2.8181818181818183,4.967741935483872e-07
7,2.909090909090909,4.8125e-07
7,3.0,4.666666666666667e-07
7,3.090909090909091,4.529411764705883e-07
7,3.1818181818181817,4.400000000000001e-07
7,3.272727272727273,4.2777777777777775e-07
7,3.3636363636363638,4.162162162162162e-07
7,3.4545454545454546,4.0526315789473687e-07
7,3.5454545454545454,3.9487179487179493e-07
7,3.6363636363636362,3.8500000000000007e-07
7,3.7272727272727275,3.75609756097561e-07
7,3.8181818181818183,3.666666666666667e-07
7,3.909090909090909,3.5813953488372097e-07
7,4.0,3.5000000000000004e-07
7,4.090909090909091,3.422222222222223e-07
7,4.181818181818182,3.347826086956522e-07
7,4.272727272727273,3.276595744680851e-07
7,4.363636363636363,3.2083333333333337e-07
7,4.454545454545455,3.142857142857143e-07
7,4.545454545454545,3.0800000000000006e-07
7,4.636363636363637,3.019607843137255e-07
7,4.7272727272727275,2.9615384615384616e-07
7,4.818181818181818,2.905660377358491e-07
7,4.909090909090909,2.851851851851852e-07
7,5.0,2.8e-07
7,5.090909090909091,2.75e-07
7,5.181818181818182,2.7017543859649127e-07
7,5.2727272727272725,2.655172413793104e-07
7,5.363636363636363,2.610169491525424e-07
7,5.454545454545455,2.5666666666666666e-07
7,5.545454545454546,2.524590163934426e-07
